name,icon_svg,category
"internet","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-wifi'><path d='M12 20h.01'/><path d='M2 8.82a15 15 0 0 1 20 0'/><path d='M5 12.859a10 10 0 0 1 14 0'/><path d='M8.5 16.429a5 5 0 0 1 7 0'/></svg>","property"
"tv","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewbox='0 0 24 24' fill='none' stroke='currentcolor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-monitor'><rect width='20' height='14' x='2' y='3' rx='2'/><line x1='8' x2='16' y1='21' y2='21'/><line x1='12' x2='12' y1='17' y2='21'/></svg>","property"
"washing machine","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-washing-machine'><path d='M3 6h3'/><path d='M17 6h.01'/><rect width='18' height='20' x='3' y='2' rx='2'/><circle cx='12' cy='13' r='5'/><path d='M12 18a2.5 2.5 0 0 0 0-5 2.5 2.5 0 0 1 0-5'/></svg>","property"
"game consoles","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-gamepad-2'><line x1='6' x2='10' y1='11' y2='11'/><line x1='8' x2='8' y1='9' y2='13'/><line x1='15' x2='15.01' y1='12' y2='12'/><line x1='18' x2='18.01' y1='10' y2='10'/><path d='M17.32 5H6.68a4 4 0 0 0-3.978 3.59c-.006.052-.01.101-.017.152C2.604 9.416 2 14.456 2 16a3 3 0 0 0 3 3c1 0 1.5-.5 2-1l1.414-1.414A2 2 0 0 1 9.828 16h4.344a2 2 0 0 1 1.414.586L17 18c.5.5 1 1 2 1a3 3 0 0 0 3-3c0-1.545-.604-6.584-.685-7.258-.007-.05-.011-.1-.017-.151A4 4 0 0 0 17.32 5z'/></svg>","property"
"fridge","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-refrigerator'><path d='M5 6a4 4 0 0 1 4-4h6a4 4 0 0 1 4 4v14a2 2 0 0 1-2 2H7a2 2 0 0 1-2-2V6Z'/><path d='M5 10h14'/><path d='M15 7v6'/></svg>","property"
"microwave","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-microwave'><rect width='20' height='15' x='2' y='4' rx='2'/><rect width='8' height='7' x='6' y='8' rx='1'/><path d='M18 8v7'/><path d='M6 19v2'/><path d='M18 19v2'/></svg>","property"
"air conditioning","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-air-vent'><path d='M6 12H4a2 2 0 0 1-2-2V5a2 2 0 0 1 2-2h16a2 2 0 0 1 2 2v5a2 2 0 0 1-2 2h-2'/><path d='M6 8h12'/><path d='M18.3 17.7a2.5 2.5 0 0 1-3.16 3.83 2.53 2.53 0 0 1-1.14-2V12'/><path d='M6.6 15.6A2 2 0 1 0 10 17v-5'/></svg>","room"
"lamp","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-lamp-desk'><path d='m14 5-3 3 2 7 8-8-7-2Z'/><path d='m14 5-3 3-3-3 3-3 3 3Z'/><path d='M9.5 6.5 4 12l3 6'/><path d='M3 22v-2c0-1.1.9-2 2-2h4a2 2 0 0 1 2 2v2H3Z'/></svg>","room"
"door look","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-key-round'><path d='M2 18v3c0 .6.4 1 1 1h4v-3h3v-3h2l1.4-1.4a6.5 6.5 0 1 0-4-4Z'/><circle cx='16.5' cy='7.5' r='.5' fill='currentColor'/></svg>","room"
"furnished","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-sofa'><path d='M20 9V6a2 2 0 0 0-2-2H6a2 2 0 0 0-2 2v3'/><path d='M2 11v5a2 2 0 0 0 2 2h16a2 2 0 0 0 2-2v-5a2 2 0 0 0-4 0v2H6v-2a2 2 0 0 0-4 0Z'/><path d='M4 18v2'/><path d='M20 18v2'/><path d='M12 4v9'/></svg>","room"
"printer","<svg xmlns='http://www.w3.org/2000/svg' width='24' height='24' viewBox='0 0 24 24' fill='none' stroke='currentColor' stroke-width='2' stroke-linecap='round' stroke-linejoin='round' class='lucide lucide-printer'><path d='M6 18H4a2 2 0 0 1-2-2v-5a2 2 0 0 1 2-2h16a2 2 0 0 1 2 2v5a2 2 0 0 1-2 2h-2'/><path d='M6 9V3a1 1 0 0 1 1-1h10a1 1 0 0 1 1 1v6'/><rect x='6' y='14' width='12' height='8' rx='1'/></svg>","room"
"desk","<svg xmlns='http://www.w3.org/2000/svg' height='800' width='800' viewBox='0 0 60 60' xml:space='preserve'><path d='M59 28h-1v-9h-8v9H33v-3h12.658A2.345 2.345 0 0 0 48 22.658V2.342A2.345 2.345 0 0 0 45.658 0H14.342A2.345 2.345 0 0 0 12 2.342V22.658A2.345 2.345 0 0 0 14.342 25H27v3H1a1 1 0 0 0-1 1v4a1 1 0 0 0 1 1h1v25a1 1 0 0 0 1 1h2.513a1 1 0 0 0 .998-.934L8.182 34h43.637l1.671 25.066a.999.999 0 0 0 .997.934H57a1 1 0 0 0 1-1V34h1a1 1 0 0 0 1-1v-4a1 1 0 0 0-1-1zm-4-7h1v7h-1v-7zm-3 0h1v7h-1v-7zM14 2.342c0-.189.153-.342.342-.342h31.316c.189 0 .342.153.342.342V19H14V2.342zM14.342 23a.342.342 0 0 1-.342-.342V21h32v1.658a.342.342 0 0 1-.342.342H14.342zM29 25h2v3h-2v-3zm29 7h-1a1 1 0 0 0-1 1v25h-.577l-1.671-25.066a1 1 0 0 0-.998-.934H7.246a1 1 0 0 0-.998.934L4.577 58H4V33a1 1 0 0 0-1-1H2v-2h56v2z'/></svg>","room"
"balcony","<svg xmlns='http://www.w3.org/2000/svg' height='800' width='800' viewBox='0 0 512 512' xml:space='preserve'><path d='M472 280H40c-13.234 0-24 10.767-24 24a8 8 0 0 0 16 0c0-4.411 3.589-8 8-8h6.556L27.983 407.443a72.072 72.072 0 0 0 9.282 48.884L48 474.216V503c0 4.963 4.038 9 9 9h398c4.962 0 9-4.037 9-9v-28.784l10.735-17.889a72.072 72.072 0 0 0 9.282-48.884L465.444 296H472c4.411 0 8 3.589 8 8a8 8 0 0 0 16 0c0-13.233-10.766-24-24-24zm-50.985 168.095L411.471 464h-23.654l5.652-14.13a72.249 72.249 0 0 0 4.71-34.694L384.938 296h24.285l19.012 114.074a56.063 56.063 0 0 1-7.22 38.021zM346.603 464l5.335-18.69a71.74 71.74 0 0 0 2.541-25.456L344.659 296h24.18l13.438 120.943a56.173 56.173 0 0 1-3.664 26.983L370.584 464h-23.981zm-42.14 0 1.646-29.252c.096-1.711.131-3.449.104-5.168L304.126 296h24.483l9.92 125.119a55.797 55.797 0 0 1-1.976 19.798L329.964 464h-25.501zM264 464V296h24.124l2.091 133.83a56.122 56.122 0 0 1-.081 4.021L288.438 464H264zm-40.485 0-1.872-29.944a56.464 56.464 0 0 1-.1-4.467L223.863 296H248v168h-24.485zm-122.986 0-9.544-15.905a56.06 56.06 0 0 1-7.22-38.021L102.777 296h24.285L113.82 415.176a72.249 72.249 0 0 0 4.71 34.694l5.652 14.13h-23.653zm40.887 0-8.03-20.073a56.185 56.185 0 0 1-3.664-26.983L143.161 296h24.175l-9.884 123.77a71.761 71.761 0 0 0 2.575 25.627L165.376 464h-23.96zm40.608 0-6.62-23.025a55.789 55.789 0 0 1-2.003-19.932L183.387 296h24.473l-2.314 133.311c-.034 1.902.01 3.834.129 5.742l1.81 28.947h-25.461zM43.765 410.074 62.777 296h23.78L67.983 407.443a72.072 72.072 0 0 0 9.282 48.884L81.869 464h-21.34l-9.544-15.905a56.063 56.063 0 0 1-7.22-38.021zM448 496H64v-16h31.992l.015.001.015-.001h39.954l.026.002.042-.002h39.928l.024.002.028-.002h159.952l.028.002.024-.002h39.928l.042.002.026-.002h39.954l.015.001.015-.001H448v16zm13.015-47.905L451.471 464h-21.34l4.604-7.673a72.072 72.072 0 0 0 9.282-48.884L425.444 296h23.779l19.012 114.074a56.063 56.063 0 0 1-7.22 38.021zM104 264a8 8 0 0 0 8-8V16h288v240a8 8 0 0 0 16 0V16c0-8.822-7.178-16-16-16H112c-8.822 0-16 7.178-16 16v240a8 8 0 0 0 8 8z'/><path d='M376 264a8 8 0 0 0 8-8V40a8 8 0 0 0-8-8H136a8 8 0 0 0-8 8v216a8 8 0 0 0 16 0V136h79.999a8 8 0 0 0 0-16H144V48h104v208a8 8 0 0 0 16 0V136h104v120a8 8 0 0 0 8 8zM264 120V48h104v72H264z'/></svg>","room"
