code,area,qualification
01.03.01,Математика,Бакалавр
01.03.02,Прикладная математика и информатика,Бакалавр
01.03.03,Механика и математическое моделирование,Бакалавр
01.03.04,Прикладная математика,Бакалавр
01.03.05,Статистика,Бакалавр
02.03.01,Математика и компьютерные науки,Бакалавр
02.03.02,Фундаментальная информатика и информационные технологии,Бакалавр
02.03.03,Математическое обеспечение и администрирование информационных систем,Бакалавр
03.03.01,Прикладные математика и физика,Бакалавр
03.03.02,Физика,Бакалавр
03.03.03,Радиофизика,Бакалавр
04.03.01,Химия,Бакалавр
04.03.02,"Химия, физика и механика материалов",Бакалавр
05.03.01,Геология,Бакалавр
05.03.02,География,Бакалавр
05.03.03,Картография и геоинформатика,Бакалавр
05.03.04,Гидрометеорология,Бакалавр
05.03.05,Прикладная гидрометеорология,Бакалавр
05.03.06,Экология и природопользование,Бакалавр
06.03.01,Биология,Бакалавр
06.03.02,Почвоведение,Бакалавр
07.03.01,Архитектура,Бакалавр
07.03.02,Реконструкция и реставрация архитектурного наследия,Бакалавр
07.03.03,Дизайн архитектурной среды,Бакалавр
07.03.04,Градостроительство,Бакалавр
08.03.01,Строительство,Бакалавр
09.03.01,Информатика и вычислительная техника,Бакалавр
09.03.02,Информационные системы и технологии,Бакалавр
09.03.03,Прикладная информатика,Бакалавр
09.03.04,Программная инженерия,Бакалавр
10.03.01,Информационная безопасность,Бакалавр
11.03.01,Радиотехника,Бакалавр
11.03.02,Инфокоммуникационные технологии и системы связи,Бакалавр
11.03.03,Конструирование и технология электронных средств,Бакалавр
11.03.04,Электроника и наноэлектроника,Бакалавр
12.03.01,Приборостроение,Бакалавр
12.03.02,Оптотехника,Бакалавр
12.03.03,Фотоника и оптоинформатика,Бакалавр
12.03.04,Биотехнические системы и технологии,Бакалавр
12.03.05,Лазерная техника и лазерные технологии,Бакалавр
13.03.01,Теплоэнергетика и теплотехника,Бакалавр
13.03.02,Электроэнергетика и электротехника,Бакалавр
13.03.03,Энергетическое машиностроение,Бакалавр
14.03.01,Ядерная энергетика и теплофизика,Бакалавр
14.03.02,Ядерные физика и технологии,Бакалавр
15.03.01,Машиностроение,Бакалавр
15.03.02,Технологические машины и оборудование,Бакалавр
15.03.03,Прикладная механика,Бакалавр
